0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:09:45 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:09:48 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:09:48 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:09:49 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:09:51 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:09:57 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:10:09 +0900] "GET /03_javascript/day03/ex08_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:10:12 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:11:07 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:11:10 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:11:10 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:11:18 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:12:47 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:13:07 +0900] "GET /03_javascript/day03/ex09_DOM.html HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:15:41 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:33:33 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:36:53 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:37:07 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:37:41 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:37:42 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:15:37:46 +0900] "GET /03_javascript/day03/ex10_DOM.html HTTP/1.1" 304 -
